中文,英语,阿语
今天的天气不错喔~,It's a nice day today,إنه يوم جميل اليوم
如果帮你为你撑伞，那我就陪你,"If I hold an umbrella for you, then I will accompany you",إذا كنت أحمل مظلة من أجلك ، فسأرافقك
当你面向太阳，阴影终将消散,"When you face the sun, the shadows will disappear",عندما تواجه الشمس ، ستختفي الظلال
只为一人而来,Only one someone come,آتي  لواحد شخص فقط
假装看不见 ，却用余光看了上千遍,"Pretend not to see, but peripheral vision looked a thousand times",تظاهر بعدم الرؤية ، لكن الرؤية المحيطية بدت ألف مرة
恰到好处的喜欢最舒服,Like most comfortable just right,مثل الأكثر راحة فقط حق
全部,All,الكل
我的,Me,أنا
我的,Me,أنا
男生,Male,ذكر
女生,Female,أنثى
更多,More,أكثر
筛选,Select,يختار
国家,Nation,البلد
首页,Room,غرفة
发现,Explore,إكتشاف
动态,Moments,لحظات
我的,Me,أنا
